,text_id,text,task_1,task_2,task_3
4069,hasoc_en_4070,Idiot Cricket Council  -  Did you plan the ICC Cricket World Cup assuming it will be played in Dubai  ? ,HOF,PRFN,TIN
5256,hasoc_en_5257,The has no soul,HOF,PRFN,TIN
665,hasoc_en_666,Trump trying to take us to another war ! ,NOT,NONE,NONE
3919,hasoc_en_3920,Really Steve isnt working with you on big issues ?  You mean like not bringing any bills to the floor to protect our elections ?  But hell its only Our Democracy you refuse to protect,NOT,NONE,NONE
2513,hasoc_en_2514,IMA meeting with striking docs remains inconclusive,NOT,NONE,NONE
3118,hasoc_en_3119,"Trumps corruption ,  hate rhetoric and CRIMINAL actions are eroding our democracy !  !  What POTUS invites foreign adversaries to influence our elections ?  !  !  ! ",HOF,HATE,TIN
1248,hasoc_en_1249,Happy Happy Happy Happy,NOT,NONE,NONE
4498,hasoc_en_4499,Criminalizing Freedom :  The Attacks on Abortion Rights and Free Speech in the Age of Trump,HOF,OFFN,TIN
2886,hasoc_en_2887,How many more abuses and apologies  ?  ?  ?  ?  Action needs to be taken against such people,HOF,HATE,UNT
2609,hasoc_en_2610,It is too very unnatural on seeing the arrogant nature of and the organising sector of  .  How can ICC defend itself by not allowing reserve days for all matches .  Dear You must change your nature . ,NOT,NONE,NONE
813,hasoc_en_814,"Vegan food is not always necessarily more healthy .  Vegan food is MORE than meat !  Do NOT be such a bandwagon jumping ,  gullible ,   !  is NOT  !  is processed ,  or not !  Make your own  ! ",NOT,NONE,NONE
3859,hasoc_en_3860,Should change the venue for semifinal and finals,NOT,NONE,NONE
4966,hasoc_en_4967,Trumps best people . ,HOF,HATE,TIN
2623,hasoc_en_2624,Still waiting to hear what agreement we made with Mexico to stop illegal immigration .  hasnt provided us any details .  got played .  His own party was against him . ,NOT,NONE,NONE
4329,hasoc_en_4330,That was about as insincere and fake as you can be !  Nice job with the fake crying and sniffles !  Lol,HOF,HATE,TIN
3641,hasoc_en_3642,"I ' ve met  ,  you ' re no Jackie Kennedy .  She had class and dignity .  She married a war hero ,  not a coward or Soviet mole .  She wasn ' t a whore . ",NOT,NONE,NONE
4566,hasoc_en_4567,A career politican quoting ethics .  Now that is funny . ,HOF,HATE,TIN
5189,hasoc_en_5190,"So keeps praising  ,  a as somebody with great leadership who just wrote him a  ' beautiful letter '  WTF ! ",HOF,OFFN,TIN
2749,hasoc_en_2750,Now we can confirm the true crisis at the border now that Canada has won the finals ? ,HOF,PRFN,TIN
3493,hasoc_en_3494,fuck trump and his bullshit,HOF,PRFN,TIN
2515,hasoc_en_2516,is trending at nd,NOT,NONE,NONE
5661,hasoc_en_5662,Now i am worried for my life not patients if this mentality of people continues doctor will not take risks to save the patient even he will not touch the patient because of fear of getting punch and freehaemorrhage  ' and injustice,HOF,HATE,TIN
5803,hasoc_en_5804,admitting he would be willing to compromise electoral sovereignty in the country he purports to preside over should anger all Americans .  It is openly treasonous and an insult to every person who has fought to defend our institutions . ,HOF,HATE,TIN
2970,hasoc_en_2971,Followed and blocked,HOF,HATE,TIN
805,hasoc_en_806,Sanders knew she was lying and admitted it under sworn testimony,NOT,NONE,NONE
5403,hasoc_en_5404,Ahhh did trump ' s feelings get hurt ?  Too bad it ' s and trump is,HOF,HATE,TIN
1016,hasoc_en_1017,Looks like somebody doesn ' t understand what Treason is . ,HOF,HATE,TIN
5798,hasoc_en_5799,When you lets the news outlets tell your story .  .  . stop letting the news paint false narratives of our black ppl .  . But for dumpster rapist gets a nice portrait,HOF,OFFN,TIN
5670,hasoc_en_5671,"orders to pay his  ,   ,  just in compensation  -  Jun  : 49 AM ET",HOF,HATE,TIN
5571,hasoc_en_5572,"That is plain evil ,  & amp ;  UR dept took that minion ' s word with ZERO proof ?  UR as deranged as he is ,  and just as culpable as that killer !  I ' ve ALWAYS backed the Blue  & amp ;  always will !  But I ' ll never stand with those who are just as cruel / evil as criminals are ! ",HOF,HATE,TIN
4685,hasoc_en_4686,"As I always said ,  the deals b / w Zameer Ahmed  & amp ;  Mansoor Khan is out ,  many other bigwigs are also part of this scam .  I strongly demand the investigation to be handed over to CBI ,  which is the only ray of hope for the thousands of victims of  . ",HOF,HATE,TIN
684,hasoc_en_685,When are we ready to admit we done with tolerating,NOT,NONE,NONE
4571,hasoc_en_4572,"But you can ' t physically attack someone on Twitter and lop their head off if they upset you ,  like you did to  .  You can ' t slash and stab here ,  like you did to  .  I ' m not sure if this is the place for you ends in",HOF,OFFN,TIN
4118,hasoc_en_4119,please change the cup design as below for the edition,HOF,HATE,TIN
2791,hasoc_en_2792,Who is Trump ? ,HOF,HATE,TIN
4556,hasoc_en_4557,Go .  Away .  Stay .  Away . ,HOF,HATE,TIN
5407,hasoc_en_5408,"We have ZERO interest in playing GOD ,  so please don ' t treat us either as a GOD or as a DOG !  If you deserve respect ,  so do we ,  nothing more and nothing less .  .  . ",HOF,HATE,UNT
4839,hasoc_en_4840,The secret behind the game . ,NOT,NONE,NONE
1766,hasoc_en_1767,"See ,  who is giving lecture on Abuse . ",NOT,NONE,NONE
3758,hasoc_en_3759,"When played last people watched .  If it rains on Sunday ,  it ' s gonna be a huge loss to  ( financially )  .  What a poor planning  !  !  ! ",NOT,NONE,NONE
4736,hasoc_en_4737,What an idiot .  As If .  .  . ,NOT,NONE,NONE
3826,hasoc_en_3827,"ICC didn ' t give the permission to Dhoni to wear the glove with the Balidaan badge .  We all know what happens when people mess with Kohli .  Now ,  we ' ll see what happens when you mess with Dhoni .  Remember this tweet . ",NOT,NONE,NONE
2458,hasoc_en_2459," \ nCongress mind set is well reflected after the real buggering defeat .  Anger ,  Frustration ,  Dead End .  \ nIt is similar to the Anger of King Dirudhirashtra father of Duryodan in Mahabharat after the war when his entire sons including Duruyodna were killed by Bhim . ",NOT,NONE,NONE
2736,hasoc_en_2737,"Of all Boris Johnsons appearances on TV ,  tonight was definitely my favourite . ",HOF,HATE,TIN
4242,hasoc_en_4243,House has to have guts to go after Trump,HOF,PRFN,TIN
222,hasoc_en_223,"Glad to see her go ,  hate to watch her leave .  Who ' s up to replace her ?  Mad Dog Hate Speech Pirro ? ",NOT,NONE,NONE
1808,hasoc_en_1809,"his biggest threat is Boris didnt turn up ,  hed be sat at home watching taking notes to see what elements of the candidates he can pinch to elevate his potential .  We need hope in this declining country ,  with Boris no chance",NOT,NONE,NONE
2758,hasoc_en_2759,Shame on poor poor onfield umpiring .  How can you appoint so dissappointing and illeterate umpires like you . ,HOF,HATE,TIN
2383,hasoc_en_2384,Yaa .  .  .  Its not cool .  But it has become more than just a fight for doctors .  Its a fight for democracy .  .  .  Our leaders do whatever they want in the name of democracy .  .  .  It ' s time to put full stop to that . ,NOT,NONE,NONE
4370,hasoc_en_4371,Remember to dance today ! ,HOF,PRFN,TIN
3286,hasoc_en_3287,is not a,NOT,NONE,NONE
2725,hasoc_en_2726,"He ' s not hugging the flag ,  he ' s hiding behind it .  This picture disgusts me in ways I can ' t even express .  I don ' t like to call any US President a pig ,  but this one emphatically is .  .  . ",HOF,HATE,TIN
369,hasoc_en_370,I stand with my medical brothers and sisters,NOT,NONE,NONE
3390,hasoc_en_3391, !  !  !   !  !  !  WE  ' KNOW '  YOU ARE A  ' LOW - LIFE '   -  AND GUILTY - OF AND  .  .  .  AN  ' MAN '  DOESN ' T  !  !  !   !  !  !   /  /  /   /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / ,NOT,NONE,NONE
5438,hasoc_en_5439,Rules  & amp ;  Gloves of  .  . or may be a dance ritual by Some team for their God ?  Till these are made clear people will keep thinking rules are partisan,HOF,HATE,TIN
2920,hasoc_en_2921,children are dying in bihar but who cares Yoga and Mp dinner is Important,HOF,HATE,TIN
1600,hasoc_en_1601,If England can do this so why not india can do this,NOT,NONE,NONE
5351,hasoc_en_5352,"When the strike is called off eventually ,  I request the doctors to treat didi ' s mental consition ASAP because she is clearly losing it .  Our Mohalla clinic docs n handsome Manish r ready to give all assiatance in this regard . ",HOF,HATE,TIN
4973,hasoc_en_4974,"Dear France and the rest of the world ,  Were sorry .  Please be patient while we did our system of this virus .  Love ,  Most Americans",HOF,HATE,TIN
3158,hasoc_en_3159,People who document evidence of violent extremism are being shut down in Youtube ' s crackdown on violent extremism,NOT,NONE,NONE
535,hasoc_en_536,"I ' m laughing so hard ,  I can barely type this .  I was literally threatened with this :   ' Crawl back in to the hole you live in or face the wrath of the  '  What do you think CHACHI will do ? ",NOT,NONE,NONE
5806,hasoc_en_5807,That is his golf cart rental bill .  .  . ,NOT,NONE,NONE
3445,hasoc_en_3446,The of social media has greatly struck  ! ,NOT,NONE,NONE
1038,hasoc_en_1039,"Mahendra Singh Dhoni ' s love for the Nation ,  Armed Forces and Soldiers has been intact which is truly commendable .  He is Nation ' s Hero .  No one represents our Country better than him .  I stand with",NOT,NONE,NONE
635,hasoc_en_636,Tommy is spot on I didn ' t think he had it in him also fuck off curtis,HOF,PRFN,TIN
50,hasoc_en_51,Acoustic  & amp ;  Electric Guitar Kits from Rs . 1699 Guitars  & amp ;  Other Musical Instruments Upto  %  off,NOT,NONE,NONE
5566,hasoc_en_5567,WTF .  ji ' s own nephew  ( and Kolkata mayor ' s daughter )  are protesting as doctors .  Are they too ?  Is she willingly ignoring blood relations for petty political gains ? ,HOF,HATE,TIN
3566,hasoc_en_3567,Did I just hear  '  .  .  .  Continue the brilliant work that Michael Gove did '  said without irony ?  There is not a teacher in the country who agrees . ,NOT,NONE,NONE
595,hasoc_en_596,"Around Doctors have Resigned .  Meanwhile ,  is busy deciding the Next Appeasement Scheme for Rohingyas in Bengal . ",NOT,NONE,NONE
1923,hasoc_en_1924,Happy oh is it the presidents birthday too ?  Oh my god ?  ?  ?  I forgot ! ,NOT,NONE,NONE
2677,hasoc_en_2678,"If you want to see the most important person that will help save America from the trump regime ,  put down your phone and look into a mirror .  .  . ",NOT,NONE,NONE
919,hasoc_en_920,Now entire know about  .  .  .  Because of this,NOT,NONE,NONE
5385,hasoc_en_5386,I cannot stop thinking about this !  on,HOF,PRFN,TIN
3178,hasoc_en_3179,"He ' s a coward for ignoring this too ,  yet nobody in the media or political sector seems to want to call him out on it . ",NOT,NONE,NONE
2871,hasoc_en_2872,Fuck this noise,HOF,PRFN,TIN
3858,hasoc_en_3859,I hope u get gang banged if prison have a nice life thank god I didnt get a picture with u,HOF,OFFN,TIN
5005,hasoc_en_5006,Just shut up already .  We all know you are a con man who stole the election with the help of a foreign power .  You are crooked teflon donnie and I pray every blessed day that you are exposed as the criminal that you are . ,HOF,OFFN,TIN
3407,hasoc_en_3408,What Indian media keeps on priority  .   .   .  If there is something happens between Pakistan and India then it would be on top trending Don ' t you think about,NOT,NONE,NONE
697,hasoc_en_698,And my semi functional one is dying of loneliness,NOT,NONE,NONE
1948,hasoc_en_1949,Caught In White House - Sized Lie That He Can ' t Weasel Out Of,NOT,NONE,NONE
672,hasoc_en_673,Is a term ?  Because so many of you are . ,NOT,NONE,NONE
1033,hasoc_en_1034,This world cup should be ban  !  !  Rain rain rain motherfuckerr ICC Shift this world to another country or ban this world cup,HOF,PRFN,TIN
216,hasoc_en_217,Thats The Story Of Indian Batting .  .  .  . When Our Top - 3 Clicks .  .  . We Dont Need Any Stable No . 4 .  .  . We Just Need Finishers,NOT,NONE,NONE
5114,hasoc_en_5115,Uranus springs to mind for some reason reading the Twump tweets,NOT,NONE,NONE
3260,hasoc_en_3261,This lobster is obviously smarter then pres . Trump,NOT,NONE,NONE
5786,hasoc_en_5787, .  .  . first improve ur gully umpiring .  .  .  .  . and talk about any obligations  .  .  . ,NOT,NONE,NONE
4154,hasoc_en_4155,And then Tucker screamed  ' Remember The Alamo '  . ,HOF,PRFN,UNT
5007,hasoc_en_5008,Poor boy .  .  .  .  .  .  .  .  ya scared,HOF,HATE,TIN
2066,hasoc_en_2067,"is it Photoshop work by  ?  ?  ?  ?  why ly ur mla  & amp ;  member photo with  ,  why not other party member ?  ? ",NOT,NONE,NONE
5476,hasoc_en_5477,Senior cabinet ministers were reported to have hatched plans to force other candidates to withdraw from the race,HOF,HATE,TIN
5370,hasoc_en_5371,"We are waiting for yrs and your worst management ,  just destroying the world Cup .  We are crazy about cricket ,  England you ? ",HOF,HATE,TIN
1189,hasoc_en_1190,I thought they are getting down but dhoni ' s glove argument made me think twice about everything I mean what kinda of intolerancy they are facing from the insignia basically every indian should say something because that insignia is the pride,NOT,NONE,NONE
4116,hasoc_en_4117,Resources .  .  You do not have funds to run the country .  .  Tell our PM to take a bowl with himself in further meetings .  .  May he will get few penny .  . ,HOF,HATE,TIN
3515,hasoc_en_3516,"Well Mitch ,  when it comes to judicial appointments .  .  .  Every one from the Trump Presidency will be nullified . ",NOT,NONE,NONE
4549,hasoc_en_4550,This is how often well be letting everyone know - 9 days a week  & amp ;  hours a day It hasnt ended Support to finally put an end to the torture  & amp ;  murder of  & amp ;  do it NOW,NOT,NONE,NONE
1329,hasoc_en_1330,"Is Namaz also banned ?  Why was some teams are allowed to do religious act where on others are stopped on their patriotism , is biased ?  should stop  ,  if required we will stop",NOT,NONE,NONE
777,hasoc_en_778,an honorary Lt Col He ' s belongs to Infantry Battalion TA Para .  He ' s completed his st para jump from k feet By wearing the over his gloves has shown his love  & amp ;  respect for the forces .  !  !  This is about our,NOT,NONE,NONE
2741,hasoc_en_2742,puts golf before country ! ,HOF,HATE,TIN
3903,hasoc_en_3904,Wondering if NYT has now endangered the situation by reporting it .  .  .  . Trump - Putin are now aware .  .  .  . and will do everything to win  .  .  . ,NOT,NONE,NONE
1204,hasoc_en_1205,If you were a good person no one would believe the  ' lies '  told about you and you wouldnt have to waste your time defending yourself .  Perhaps you are really just a Accepting this reality will be the first step in recovery . ,NOT,NONE,NONE
73,hasoc_en_74,"why only dhoni all the indian audience should also wear the jersey and banner with  ' Balidan '  Insignia .  Tv channels  , news papers and wherever possible should include this insignia . ",NOT,NONE,NONE
283,hasoc_en_284,Name calling works !  !  !  but youve got to tell the truth or it doesnt .  isnt nervous .  You are .  Its called and Donny ?  Its okay .  Youre right to be nervous . ,NOT,NONE,NONE
3215,hasoc_en_3216,"Literally ,  blood was shed .  In the end no money was raised for charity ,  but the Kennedy assassination was solved . ",NOT,NONE,NONE
1223,hasoc_en_1224,So stupid it ' s scary . ,NOT,NONE,NONE
3273,hasoc_en_3274," ' s MP Dr Santanu Sen just repeats version of the  ' outsiders '   !  !  Don ' t get back ,  continue until CM apologize publicly",NOT,NONE,NONE
2076,hasoc_en_2077,"he means everyone talks about him because he is a  ,  now he feels he has to reply back .  Just block him and support",NOT,NONE,NONE
5500,hasoc_en_5501,"I don ' t see any wrong in comparing Narendra Modi with Swami Vivekananda ,  only congis praise fools like who is good for nothing",NOT,NONE,NONE
763,hasoc_en_764,Icc members while planning . ,NOT,NONE,NONE
3287,hasoc_en_3288,"Because bill is so smart ,  he fell for one of the most known parody accounts . ",NOT,NONE,NONE
5642,hasoc_en_5643,He won ' t leave  =  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP !  LOCK HIM UP ! ,HOF,HATE,TIN
1763,hasoc_en_1764,KillingEve addict .  love  & amp ;  respect for animals runs in my blood .  ask  & amp ;  see what happens . ,NOT,NONE,NONE
4300,hasoc_en_4301,YouTube pastor who celebrated Pulse massacre featured in Make America Straight Again conference,HOF,PRFN,TIN
1245,hasoc_en_1246,Angry Relatives Of Patients roughing up  & amp ;  mishandling Doctors is old story .  So is protest by Doctors to counter such misbehaviour .  But BJP has achieved a first by converting this into Muslims vs Doctors . ,NOT,NONE,NONE
4520,hasoc_en_4521,Trump to America :  Whos Going to Stop Me ? ,HOF,HATE,TIN
1275,hasoc_en_1276,what are you doing icc . why did you held the at england . ,NOT,NONE,NONE
1630,hasoc_en_1631,Well Said,NOT,NONE,NONE
781,hasoc_en_782,can keenly look into wht is on gloves but cannot properly plan a tournament vch comes once in yrs,NOT,NONE,NONE
4192,hasoc_en_4193,This Guy is a reported rapist and if you see him you should imedietly call the cops . ,HOF,HATE,TIN
2183,hasoc_en_2184,Vinash kaale vipreet budhhi The sister is just as half minded as his brother . ,HOF,OFFN,TIN
1882,hasoc_en_1883,"is no contest .  is far ahead of in every aspect .  If can win any contest ,  it ' ll be Some players will be axed after today ' s defeat",NOT,NONE,NONE
1815,hasoc_en_1816,Quinnipiac University National Poll released today !  Every Democrat is leading Trump !  Joe Biden :   / 40 Bernie Sanders :   / 42 Kamala Harris :   / 41 Elizabeth Warren :   / 42 Pete Buttigieg :   / 42 Cory Booker :   / 42,NOT,NONE,NONE
4864,hasoc_en_4865,My new came today Trump,HOF,PRFN,TIN
4672,hasoc_en_4673,is a DRUNK AND,HOF,HATE,TIN
5063,hasoc_en_5064,Really ?  Seem like she still has hangover of elections . ,HOF,HATE,TIN
542,hasoc_en_543,Wish the aam aadmi had more sense !  People will continue beating until stringent deterrent laws come in,NOT,NONE,NONE
3875,hasoc_en_3876,YouTubes CEO issued a non - apology to LGBTQ people .  It didnt go over well . ,NOT,NONE,NONE
2633,hasoc_en_2634,What a mother fucking MAROON !  !  !  ! ,HOF,PRFN,TIN
3408,hasoc_en_3409,Unbelievable !  WOMEN can NOT let this stand .  lawmakers want to go back to keeping women barefoot and pregnant even if in the case of rape .  Rape is an an act of extreme VIOLENCE !  A shouldnt have ANY say after committing that crime ! ,HOF,HATE,TIN
4268,hasoc_en_4269,"My dog left something on the lawn he can have ,  but only if he picks it up .  I wouldnt piss on him if he were on fire ,  so Im definitely not going to go to all the trouble of sending it . ",HOF,PRFN,TIN
5418,hasoc_en_5419,"I am simply pointing out that writing something in an article doesnt necessarily mean someone said it .  Moreover ,  so what .  Hes right .  If young people voted they could change the world . ",HOF,HATE,TIN
4861,hasoc_en_4862,"cops are out of control ,  they need mental evaluations a deranged coward shouldn ' t be carrying a gun . ",HOF,HATE,TIN
940,hasoc_en_941,Nothing says God ' s blessing like  ' getting even '  . ,NOT,NONE,NONE
932,hasoc_en_933,"Supporting all the doctors in the country ,  you deserve better and higher levels of appreciation Take a bow you all . ",NOT,NONE,NONE
4626,hasoc_en_4627,Dems call for impeachment over Trumps election comments,HOF,PRFN,TIN
4948,hasoc_en_4949,Well done what a schedule preparation,HOF,HATE,TIN
3490,hasoc_en_3491,Manchester next days,NOT,NONE,NONE
3765,hasoc_en_3766,Certainly his last as a free man . ,NOT,NONE,NONE
3509,hasoc_en_3510,"Pubes caught in your zipper  %  ,  Trump  % ",HOF,PRFN,TIN
399,hasoc_en_400,Just watched this guy spray the crap from his curb to the curb of his next door neighbor . ,HOF,PRFN,TIN
2988,hasoc_en_2989,You will never be  . ,HOF,HATE,TIN
1801,hasoc_en_1802,"I went to Costco the other day  & amp ;  saw same item prices has gone up so I flipped over the box  & amp ;  saw the print made in China .  Im my Chinese grocery bill will also go up .  The gov isnt paying this ,  I am .  So this is  & amp ;  hes killing us in so many ways",NOT,NONE,NONE
3856,hasoc_en_3857,The Was Full of  .  But Did He Commit a Hate  ? ,NOT,NONE,NONE
5365,hasoc_en_5366,when will you admit that you are a fraud and that you have no idea what you ' re doing ? ,HOF,PRFN,TIN
5127,hasoc_en_5128,"Has a headline concerning  -   '  More bad news for disgraced ex - NFL star  '  .  BAD NEWS  ?  He ' s a rapist .  It ' s not bad news and he wasn ' t disgraced .  He knowingly preyed on women ,  sexually assaulting and raping them . ",NOT,NONE,NONE
4931,hasoc_en_4932,totally wasted,HOF,HATE,TIN
926,hasoc_en_927,as same as also has to be with India no ?  !  He should wear the or boycott for the nation first concept !  We want that !  go f *  *  * ,NOT,NONE,NONE
892,hasoc_en_893,Dear please take cognizance of this offensive practice .  Why should the minor and her family organise feast in the village ?  Victim and her family is further victimised here .  dist The need to punish the is important,NOT,NONE,NONE
827,hasoc_en_828,hope All team will win trophy not from performance but will win from rainy day .  .  .  .  . rain is fourth umpire .  .  . ,NOT,NONE,NONE
1150,hasoc_en_1151,Yeah .  .  . hard pass . ,NOT,NONE,NONE
4331,hasoc_en_4332,Kamala Harris :  Trump is a  ' clear and present threat to democracy ' ,HOF,PRFN,TIN
4101,hasoc_en_4102,"Can I just say that should I ever run for any sort of office  ( elected or otherwise )  ,  I currently have wife ,  children ,  cats and tortoises",HOF,HATE,TIN
5190,hasoc_en_5191,"Gang raped a yrs old girl for more than a week ,  called someone from to rape her ,  kept her confined in a  ( no respect for  )  then her  & amp ;  what do u get ?  Life term or yrs You ' ll still breathe happy Cheers to I am not at all satisfied",NOT,NONE,NONE
5281,hasoc_en_5282,Fascist Is Farting Air Pollutionne of the Best Ways To Protest Despicable is Creating Trump Farting Robot,NOT,NONE,NONE
1867,hasoc_en_1868,Watching on  & amp ;  smoking a bowl . ,NOT,NONE,NONE
4445,hasoc_en_4446,I echo those sentiments !  !  F,NOT,NONE,NONE
5149,hasoc_en_5150,Pay Pal Cal better leave some cash for his recruits,NOT,NONE,NONE
4223,hasoc_en_4224,Concentrate in covering grounds not on hand !  ! ,HOF,HATE,TIN
982,hasoc_en_983,Junior doctors in hold protests in support of West Bengal doctors  -  India Today,NOT,NONE,NONE
2438,hasoc_en_2439,They wont be applauding when he fucks up Brexit .  Only a moron can look at what Johnson has done as a politician and conclude that hell do what he says he will . ,HOF,PRFN,TIN
106,hasoc_en_107,"Mitch McConnell ,  Too ,  Welcomes Russian Interference",NOT,NONE,NONE
3600,hasoc_en_3601,We doctors have to take karate classes along with pg studies . ,NOT,NONE,NONE
3577,hasoc_en_3578,Firing your own pollsters who show you behind is bush league .  You are the one who cant win an election fairly . ,HOF,OFFN,TIN
5308,hasoc_en_5309,The Bozo Bros taxpayer funded European Vacation . ,NOT,NONE,NONE
2292,hasoc_en_2293,I ' m in count down mode until we never have to see this nasty grifter family again .  And never is too soon . ,NOT,NONE,NONE
6,hasoc_en_7,Latest design of trophy . ,NOT,NONE,NONE
570,hasoc_en_571,Biggester scamster itself got scammed by the data experts !  !  That ' s great fun to watch,NOT,NONE,NONE
563,hasoc_en_564,I purpose that we tweet over and over .  ALL,NOT,NONE,NONE
1497,hasoc_en_1498,Warrior Woman Thursday retweet party for Follow her Then follow all Who Like  :  Retweets  :  Comments  :  Vett as u go Let ' s unite with Theresa,NOT,NONE,NONE
3155,hasoc_en_3156,They should stop asking questions and just begin hurling expletives at him . ,NOT,NONE,NONE
2376,hasoc_en_2377,What in the absolute hell is wrong with you ?  !  ? ,NOT,NONE,NONE
4824,hasoc_en_4825,"I dont support any kind of Mob Violence ,  Doctors deserve safety and protection .  But the way BJP leaders and Sanghi trolls have communalized Bengal doctor issue and AIMA went on strike ,  It is important to expose their hypocrisy .  THREAD Read it  / n",HOF,HATE,TIN
3555,hasoc_en_3556,As per rule of ICC in of course if Dhoni was wrng about insignia .  He should remove it but wht about shoes he own wrote universe boss in last match wht was that ? ,NOT,NONE,NONE
2256,hasoc_en_2257,General Election now ! ,NOT,NONE,NONE
3508,hasoc_en_3509,How much would you be willing to pay to see Trump get the shit kicked out of him ? ,HOF,OFFN,TIN
2612,hasoc_en_2613,This is what your country will soon look like if you EVER let in - in any wayFinance / joint ventures / land ownership / infrastructure or GYes they own HK but we got complacent while Britain had its year lease - this is no longer the we knew ! ,NOT,NONE,NONE
2652,hasoc_en_2653,Ur not being fair to the Man Baby ! ,HOF,PRFN,TIN
5085,hasoc_en_5086,I hope no one else hires this,HOF,HATE,UNT
3726,hasoc_en_3727,Only gone and done it again,HOF,PRFN,UNT
1629,hasoc_en_1630,Respected PM Ji Address the issue of and speak on measures to and  . ,NOT,NONE,NONE
4283,hasoc_en_4284,"This is how TMC MP of Murshidabad of has openly issued rape threats to the lady doctors .  ,  ,  , ",HOF,HATE,TIN
5524,hasoc_en_5525,AOC is right and you are wrong .  \ nYou ' re just another shill for tRUmp at this point .  \ nYou should be ashamed of yourselves . ,NOT,NONE,NONE
854,hasoc_en_855,Sir Doctors of all over india demand justice for brutal assault of kolkata doctors .  Your response will help in raising our voice . ,NOT,NONE,NONE
2490,hasoc_en_2491,Thank you Honourable ji .  Getting supported by nation matters a lot for every person in the country . And you always support every good thing as parents do . Thanks for supporting it shows that the team is Best  . ,NOT,NONE,NONE
5397,hasoc_en_5398,Wow .  You lie so blatantly .  It ' s as if you know the elections are rigged in your favor . ,HOF,HATE,TIN
5630,hasoc_en_5631,"Great .  Here ' s a quick update from Canada :  We hate  ( but not pumpkin pie ,  pumpkin - spice latt ,  The Great Pumpkin ,  or gourds in general ;  just that idiot dictator - wannabe who is trashing your reputation ,  America )  . ",HOF,PRFN,TIN
5753,hasoc_en_5754,Blame the WB govt but Sadly the Protest and genuine demands of doctors have been hijacked by BJP .  Doctors are getting beaten allover India including BJP ruled states .  Where was the concern when Dr Khaleel was jailed  . ,NOT,NONE,NONE
207,hasoc_en_208,HAPPY JOHN MC CAIN DAY ! ,NOT,NONE,NONE
4032,hasoc_en_4033,"Wts the stupid logic of sharing a point each by the teams which could not play match due to rain .  .  .  ?  Stupendously idiotic .  it is unfair change ur rules  , get reserved days to play matches which couldn ' t have played due to rain  . it only helps the fortunate ! ",HOF,PRFN,TIN
4214,hasoc_en_4215,There seems to be very little chance of avoiding the absence ( s )  of Johnson this morning . ,HOF,HATE,TIN
5321,hasoc_en_5322,Man alive ?  !  ?  !  the man knows no bounds .  .  .  you are a disgrace,NOT,NONE,NONE
2334,hasoc_en_2335,"It may just drizzle for a few hours on sunday ,  but due to lack of covers and resulting wet outfield ,  the Ind - Pak match is likely to be abandoned",NOT,NONE,NONE
3565,hasoc_en_3566,"Doctors holding Didi by her neck ,  new experience ,  learn",NOT,NONE,NONE
1578,hasoc_en_1579,FAKE NEWS,NOT,NONE,NONE
2399,hasoc_en_2400,"An Indian Lieutenant Colonel showing support to Indian Army is never the wrong thing ,  and i believe good things should always be continued . ",NOT,NONE,NONE
773,hasoc_en_774,Here comes the,NOT,NONE,NONE
1798,hasoc_en_1799,We have become the country that we used to hate . ,NOT,NONE,NONE
4802,hasoc_en_4803,R .  Kelly is a Child Molester and Sexual Predator Lock R .  Up !  ! ,HOF,OFFN,TIN
264,hasoc_en_265,should withdraw from in protest .  has more honour than playing a World Cup . ,NOT,NONE,NONE
574,hasoc_en_575,"On my following tweet ,  is a reminder on the thoughts of when Gordon Brown was elected PM without a GE : ",NOT,NONE,NONE
4019,hasoc_en_4020,I am sure that Trump had something to do with this as he would like to start a war .  He is so close with the Saudis and they hate Iran and pay Trump well .  This is a natural disaster caused by men and the man gives no care about other animals nor humanity . ,HOF,HATE,TIN
5019,hasoc_en_5020,"It was good for some to shout for ducking years so its feasible  & amp ;  appropriate for EVERY good ,  decent  & amp ;  patriotic citizen to shout -  so  .  .  . b / c he has not an ounce of humanity .   =  CEO of Trumerica",HOF,HATE,TIN
2297,hasoc_en_2298,just invited Congress to begin proceedings,NOT,NONE,NONE
5112,hasoc_en_5113,I would like to un - welcome to twitter and since Ive already him .  Please reply to all his tweets with,NOT,NONE,NONE
5574,hasoc_en_5575,OJ for press secretary !  OJ has all the key attributes .  .  .  .  Natural born liar Natural born swindler Natural born KILLER !  Come down Trump .  .  .  What you waiting for ! ,HOF,HATE,TIN
5121,hasoc_en_5122,"I don ' t buy it for a MINUTE .  But even if your numbers were  %  ,  I ' d still be PROFOUNDLY disappointed in my Traitorous and weak - minded country men and women .  .  . ",HOF,PRFN,TIN
1191,hasoc_en_1192,Happy  ! ,NOT,NONE,NONE
4012,hasoc_en_4013,"what a disappointment u guys are from now on let sub continents host the matches .  below par organization skills , ",HOF,HATE,TIN
2682,hasoc_en_2683, ' Mini - Trump across the Channel '  :  EU media on Boris Johnson as British PM by,NOT,NONE,NONE
5410,hasoc_en_5411,I think former President Nixon said the same thing,HOF,PRFN,TIN
